

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

90,Buy,7/13/2018 11:30,LE1,$3455.00,$0.00,1,($14.20),-0.07%,$18.75,42.86%,,$0.35,$0.50
,Sell,7/16/2018 07:00,LX1,$3452.50,,($12.50),$3622.00,,($25.00),28.57%,-28.57%,$0.35,$0.50
91,Buy,7/13/2018 11:45,LE2,$3454.50,$0.00,2,($23.40),-0.06%,$42.50,48.57%,,$0.70,$1.00
,Sell,7/16/2018 07:00,LX2,$3452.50,,($20.00),$3598.60,,($45.00),28.57%,-22.86%,$0.70,$1.00
92,Buy,7/13/2018 12:00,LE3,$3454.75,$0.00,2,($25.90),-0.07%,$40.00,50.00%,,$0.70,$1.00
,Sell,7/16/2018 07:00,LX3,$3452.50,,($22.50),$3572.70,,($40.00),21.88%,-28.13%,$0.70,$1.00
93,Buy,7/17/2018 11:15,LE1,$3453.50,$0.00,1,$32.05,0.20%,$63.75,94.44%,,$0.35,$0.50
,Sell,7/18/2018 10:15,LX1,$3460.25,,$33.75,$3604.75,,($3.75),55.56%,50.00%,$0.35,$0.50
94,Buy,7/17/2018 11:30,LE2,$3454.75,$0.00,2,$51.60,0.16%,$115.00,88.46%,,$0.70,$1.00
,Sell,7/18/2018 10:15,LX2,$3460.25,,$55.00,$3656.35,,($15.00),53.85%,42.31%,$0.70,$1.00
95,Buy,7/17/2018 11:45,LE3,$3454.75,$0.00,2,$51.60,0.16%,$115.00,88.46%,,$0.70,$1.00
,Sell,7/18/2018 10:15,LX3,$3460.25,,$55.00,$3707.95,,($15.00),53.85%,42.31%,$0.70,$1.00
96,Buy,7/24/2018 09:45,LE1,$3472.75,$0.00,1,($26.70),-0.14%,$41.25,58.93%,,$0.35,$0.50
,Sell,7/24/2018 13:45,LX1,$3467.75,,($25.00),$3681.25,,($28.75),5.36%,-35.71%,$0.35,$0.50
97,Buy,7/24/2018 10:00,LE2,$3476.75,$0.00,2,($93.40),-0.26%,$42.50,30.36%,,$0.70,$1.00
,Sell,7/24/2018 13:45,LX2,$3467.75,,($90.00),$3587.85,,($97.50),5.36%,-64.29%,$0.70,$1.00
98,Buy,7/24/2018 10:15,LE3,$3476.00,$0.00,2,($85.90),-0.24%,$50.00,35.71%,,$0.70,$1.00
,Sell,7/24/2018 13:45,LX3,$3467.75,,($82.50),$3501.95,,($90.00),5.36%,-58.93%,$0.70,$1.00
99,Buy,7/25/2018 12:45,LE1,$3476.75,$0.00,1,$37.05,0.22%,$112.50,95.74%,,$0.35,$0.50
,Sell,7/25/2018 18:15,% Trailing Stop,$3484.50,,$38.75,$3539.00,,($5.00),37.23%,32.98%,$0.35,$0.50
100,Buy,7/25/2018 13:00,LE2,$3478.00,$0.00,2,$61.60,0.19%,$212.50,92.39%,,$0.70,$1.00
,Sell,7/25/2018 18:15,% Trailing Stop,$3484.50,,$65.00,$3600.60,,($17.50),35.87%,28.26%,$0.70,$1.00
101,Buy,7/25/2018 13:15,LE3,$3479.75,$0.00,2,$44.10,0.14%,$195.00,84.78%,,$0.70,$1.00
,Sell,7/25/2018 18:15,% Trailing Stop,$3484.50,,$47.50,$3644.70,,($35.00),35.87%,20.65%,$0.70,$1.00
102,Buy,8/1/2018 11:00,LE1,$3474.75,$0.00,1,($50.45),-0.28%,$3.75,6.98%,,$0.35,$0.50
,Sell,8/1/2018 12:00,LX1,$3465.00,,($48.75),$3594.25,,($50.00),2.33%,-90.70%,$0.35,$0.50
103,Buy,8/1/2018 11:15,LE2,$3472.75,$0.00,2,($80.90),-0.22%,$2.50,3.03%,,$0.70,$1.00
,Sell,8/1/2018 12:00,LX2,$3465.00,,($77.50),$3513.35,,($80.00),3.03%,-93.94%,$0.70,$1.00
