

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

49,Buy,4/30/2018 10:15,LE3,$3331.00,$0.00,4,($256.80),-0.38%,$80.00,24.24%,,$1.40,$2.00
,Sell,4/30/2018 12:00,PosRiskLX,$3318.50,,($250.00),$4309.60,,($250.00),0.00%,-75.76%,$1.40,$2.00
50,Buy,5/2/2018 09:45,LE1,$3302.75,$0.00,2,($150.90),-0.45%,$92.50,38.14%,,$0.70,$1.00
,Sell,5/2/2018 16:00,LX1,$3288.00,,($147.50),$4158.70,,($150.00),1.03%,-60.82%,$0.70,$1.00
51,Buy,5/2/2018 10:00,LE2,$3300.75,$0.00,2,($130.90),-0.39%,$112.50,46.39%,,$0.70,$1.00
,Sell,5/2/2018 16:00,LX2,$3288.00,,($127.50),$4027.80,,($130.00),1.03%,-52.58%,$0.70,$1.00
52,Buy,5/2/2018 10:15,LE3,$3296.75,$0.00,4,($181.80),-0.27%,$305.00,62.89%,,$1.40,$2.00
,Sell,5/2/2018 16:00,LX3,$3288.00,,($175.00),$3846.00,,($180.00),1.03%,-36.08%,$1.40,$2.00
53,Buy,5/4/2018 13:45,LE1,$3310.25,$0.00,2,$116.60,0.36%,$170.00,97.14%,,$0.70,$1.00
,Sell,5/7/2018 04:00,LX1,$3322.25,,$120.00,$3962.60,,($5.00),71.43%,68.57%,$0.70,$1.00
54,Buy,5/4/2018 14:00,LE2,$3311.00,$0.00,2,$109.10,0.34%,$162.50,97.01%,,$0.70,$1.00
,Sell,5/7/2018 04:00,LX2,$3322.25,,$112.50,$4071.70,,($5.00),70.15%,67.16%,$0.70,$1.00
55,Buy,5/4/2018 14:15,LE3,$3315.00,$0.00,4,$138.20,0.22%,$245.00,73.13%,,$1.40,$2.00
,Sell,5/7/2018 04:00,LX3,$3322.25,,$145.00,$4209.90,,($90.00),70.15%,43.28%,$1.40,$2.00
56,Buy,5/9/2018 09:45,LE1,$3331.00,$0.00,2,$424.10,1.28%,$550.00,90.91%,,$0.70,$1.00
,Sell,5/11/2018 12:45,LX1,$3373.75,,$427.50,$4634.00,,($55.00),79.75%,70.66%,$0.70,$1.00
57,Buy,5/9/2018 10:00,LE2,$3332.25,$0.00,2,$411.60,1.25%,$537.50,88.84%,,$0.70,$1.00
,Sell,5/11/2018 12:45,LX2,$3373.75,,$415.00,$5045.60,,($67.50),79.75%,68.60%,$0.70,$1.00
58,Buy,5/9/2018 10:15,LE3,$3331.00,$0.00,4,$848.20,1.28%,$1100.00,90.91%,,$1.40,$2.00
,Sell,5/11/2018 12:45,LX3,$3373.75,,$855.00,$5893.80,,($110.00),79.75%,70.66%,$1.40,$2.00
59,Buy,5/17/2018 11:15,LE1,$3384.50,$0.00,2,($83.40),-0.24%,$7.50,7.32%,,$0.70,$1.00
,Sell,5/17/2018 13:00,LX1,$3376.50,,($80.00),$5810.40,,($95.00),14.63%,-78.05%,$0.70,$1.00
60,Buy,5/17/2018 11:30,LE2,$3382.25,$0.00,4,($121.80),-0.17%,$10.00,6.45%,,$1.40,$2.00
,Sell,5/17/2018 13:00,LX2,$3376.50,,($115.00),$5688.60,,($145.00),19.35%,-74.19%,$1.40,$2.00
61,Buy,5/17/2018 11:45,LE3,$3382.25,$0.00,4,($121.80),-0.17%,$10.00,6.45%,,$1.40,$2.00
,Sell,5/17/2018 13:00,LX3,$3376.50,,($115.00),$5566.80,,($145.00),19.35%,-74.19%,$1.40,$2.00
62,Buy,5/21/2018 09:45,LE1,$3382.25,$0.00,2,($3.40),0.00%,$105.00,85.71%,,$0.70,$1.00
